Running simulation for n_modes=4 and n_fluences=20
Tensors initialization on device cuda
Multiprobe = band_lim
torch.Size([4, 64, 64])

('MSE', None) RECONSTRUCTIONS

Epoch 9: loss = 5588228.0
Epoch 10: loss = 5001914.0
Epoch 11: loss = 4989989.5
Epoch 12: loss = 4989803.0
Epoch 13: loss = 4989802.0
Epoch 14: loss = 4989802.0
Epoch 15: loss = 4989801.0
Epoch 16: loss = 4989801.0
Epoch 17: loss = 4989801.0
Epoch 18: loss = 4989801.0
Epoch 19: loss = 4989801.0
Epoch 20: loss = 4989801.0
Epoch 21: loss = 4989801.0
Epoch 22: loss = 4989801.0
Epoch 23: loss = 4989801.0
Epoch 24: loss = 4989800.5
Epoch 25: loss = 4989800.5
Epoch 26: loss = 4989800.5
Epoch 27: loss = 4989800.5
Epoch 28: loss = 4989800.5
Epoch 29: loss = 4989800.5
Epoch 30: loss = 4989800.5
Epoch 31: loss = 4989800.5
Epoch 32: loss = 4989800.5
Epoch 33: loss = 4989800.5
Epoch 34: loss = 4989800.5
Early stopping at epoch 34 with loss 4989800.5
Reconstruction for fluence = 183298.07108324335 photons/pixel
Epoch 0: loss = 1730706432.0
Epoch 1: loss = 1.459320430798255e+19
Epoch 2: loss = 2.157004387904389e+17
Epoch 3: loss = 3188242539085824.0
Epoch 4: loss = 47125358444544.0
Epoch 5: loss = 696867028992.0
Epoch 6: loss = 10569551872.0
Epoch 7: loss = 336067328.0
Epoch 8: loss = 36307416.0
Epoch 9: loss = 10127179.0
Epoch 10: loss = 5331875.0
Epoch 11: loss = 5093314.0
Epoch 12: loss = 5089230.0
Epoch 13: loss = 5089171.0
Epoch 14: loss = 5089170.0
Epoch 15: loss = 5089170.0
Epoch 16: loss = 5089170.0
Epoch 17: loss = 5089170.0
Epoch 18: loss = 5089169.5
Epoch 19: loss = 5089169.5
Epoch 20: loss = 5089169.5
Epoch 21: loss = 5089169.5
Epoch 22: loss = 5089169.5
Epoch 23: loss = 5089169.5
Epoch 24: loss = 5089169.5
Epoch 25: loss = 5089169.5
Epoch 26: loss = 5089169.5
Epoch 27: loss = 5089169.5
Epoch 28: loss = 5089169.5
Early stopping at epoch 28 with loss 5089169.5
Reconstruction for fluence = 428133.2398719387 photons/pixel
Epoch 0: loss = 4041602304.0
Epoch 1: loss = 1.8662329276809452e+20
Epoch 2: loss = 2.7584569707876844e+18
Epoch 3: loss = 4.077242518863872e+16
Epoch 4: loss = 602653235085312.0
Epoch 5: loss = 8908477300736.0
Epoch 6: loss = 132352491520.0
Epoch 7: loss = 2455218176.0
Epoch 8: loss = 237699568.0
Epoch 9: loss = 29300772.0
Epoch 10: loss = 7923046.0
Epoch 11: loss = 4965450.0
Epoch 12: loss = 4879350.5
Epoch 13: loss = 4878017.5
Epoch 14: loss = 4878003.0
Epoch 15: loss = 4878002.0
Epoch 16: loss = 4878001.5
Epoch 17: loss = 4878001.5
Epoch 18: loss = 4878001.0
Epoch 19: loss = 4878001.0
Epoch 20: loss = 4878001.0
Epoch 21: loss = 4878001.0
Epoch 22: loss = 4878001.0
Epoch 23: loss = 4878001.0
Epoch 24: loss = 4878001.5
Epoch 25: loss = 4878001.0
Epoch 26: loss = 4878001.0
Epoch 27: loss = 4878001.0
Epoch 28: loss = 4878001.0
Early stopping at epoch 28 with loss 4878001.0
Reconstruction for fluence = 1000000.0 photons/pixel
Epoch 0: loss = 9439186944.0
Epoch 1: loss = 2.383175162840203e+21
Epoch 2: loss = 3.522543664910618e+19
Epoch 3: loss = 5.206628736560005e+17
Epoch 4: loss = 7695857692442624.0
Epoch 5: loss = 113753265799168.0
Epoch 6: loss = 1683019268096.0
Epoch 7: loss = 26230915072.0
Epoch 8: loss = 1236626944.0
Epoch 9: loss = 115539048.0
Epoch 10: loss = 24801860.0
Epoch 11: loss = 6052849.0
Epoch 12: loss = 4624810.0
Epoch 13: loss = 4597681.0
Epoch 14: loss = 4597320.5
Epoch 15: loss = 4597318.0
Epoch 16: loss = 4597318.0
Epoch 17: loss = 4597317.0
Epoch 18: loss = 4597317.0
Epoch 19: loss = 4597317.0
Epoch 20: loss = 4597317.0
Epoch 21: loss = 4597317.0
Epoch 22: loss = 4597317.0
Epoch 23: loss = 4597317.0
Epoch 24: loss = 4597317.0
Epoch 25: loss = 4597317.0
Epoch 26: loss = 4597317.0
Epoch 27: loss = 4597317.0
Early stopping at epoch 27 with loss 4597317.0
Tensors initialization on device cuda
Multiprobe = band_lim
torch.Size([4, 64, 64])

('MSE', 'PoissonNLL') RECONSTRUCTIONS

Reconstruction for fluence = 0.09999999999999999 photons/pixel
Epoch 0: loss = 10641.017578125
Epoch 1: loss = 3804.75341796875
Epoch 2: loss = 3679.216552734375
Epoch 3: loss = 3677.26220703125
Epoch 4: loss = 3677.2255859375
Epoch 5: loss = 3677.22509765625
Epoch 6: loss = 3677.224609375
Epoch 7: loss = 3677.224609375
Epoch 8: loss = 3677.224609375
Epoch 9: loss = 3677.224609375
Epoch 10: loss = 3677.224609375
Epoch 11: loss = 3677.224365234375
Epoch 12: loss = 3677.224365234375
Epoch 13: loss = 3677.224365234375
Epoch 14: loss = 3677.224365234375
Epoch 0: loss = 0.00273334002122283
Epoch 1: loss = 0.00273324828594923
Epoch 2: loss = 0.0027331560850143433
Epoch 3: loss = 0.0027330641169101
Epoch 4: loss = 0.0027329721488058567
Epoch 5: loss = 0.002732880413532257
Epoch 6: loss = 0.0027327886782586575
Epoch 7: loss = 0.002732696942985058
Epoch 8: loss = 0.002732605207711458
Epoch 9: loss = 0.0027325134724378586
Epoch 10: loss = 0.002732421737164259
Early stopping at epoch 10 with loss 0.00273334002122283
Reconstruction for fluence = 0.23357214690901223 photons/pixel
Epoch 0: loss = 24269.02734375
Epoch 1: loss = 8828.5341796875
Epoch 2: loss = 8545.3544921875
Epoch 3: loss = 8540.884765625
Epoch 4: loss = 8540.80859375
Epoch 5: loss = 8540.806640625
Epoch 6: loss = 8540.8046875
Epoch 7: loss = 8540.8046875
Epoch 8: loss = 8540.8037109375
Epoch 9: loss = 8540.8037109375
Epoch 10: loss = 8540.8037109375
Epoch 11: loss = 8540.802734375
Epoch 12: loss = 8540.802734375
Epoch 13: loss = 8540.802734375
Epoch 14: loss = 8540.802734375
Epoch 0: loss = 0.005538023076951504
Epoch 1: loss = 0.005537797696888447
Epoch 2: loss = 0.00553757231682539
Epoch 3: loss = 0.005537346936762333
Epoch 4: loss = 0.005537121556699276
Epoch 5: loss = 0.005536897107958794
Epoch 6: loss = 0.005536671727895737
Epoch 7: loss = 0.005536447279155254
Epoch 8: loss = 0.005536221899092197
Epoch 9: loss = 0.005535997450351715
Epoch 10: loss = 0.005535773001611233
Early stopping at epoch 10 with loss 0.005538023076951504
Reconstruction for fluence = 0.5455594781168519 photons/pixel
Epoch 0: loss = 54819.3515625
Epoch 1: loss = 20624.79296875
Epoch 2: loss = 19995.53515625
Epoch 3: loss = 19985.453125
Epoch 4: loss = 19985.28515625
Epoch 5: loss = 19985.279296875
Epoch 6: loss = 19985.27734375
Epoch 7: loss = 19985.27734375
Epoch 8: loss = 19985.27734375
Epoch 9: loss = 19985.275390625
Epoch 10: loss = 19985.275390625
Epoch 11: loss = 19985.275390625
Epoch 12: loss = 19985.2734375
Epoch 13: loss = 19985.2734375
Epoch 14: loss = 19985.275390625
Epoch 0: loss = 0.01107163354754448
Epoch 1: loss = 0.011071071028709412
Epoch 2: loss = 0.011070510372519493
Epoch 3: loss = 0.011069949716329575
Epoch 4: loss = 0.01106938999146223
Epoch 5: loss = 0.011068829335272312
Epoch 6: loss = 0.011068269610404968
Epoch 7: loss = 0.011067710816860199
Epoch 8: loss = 0.01106715202331543
Epoch 9: loss = 0.01106659322977066
Epoch 10: loss = 0.011066035367548466
Early stopping at epoch 10 with loss 0.01107163354754448
Reconstruction for fluence = 1.2742749857031335 photons/pixel
Epoch 0: loss = 120922.1875
Epoch 1: loss = 47237.90625
Epoch 2: loss = 45874.5234375
Epoch 3: loss = 45852.265625
Epoch 4: loss = 45851.9140625
Epoch 5: loss = 45851.8984375
Epoch 6: loss = 45851.890625
Epoch 7: loss = 45851.890625
Epoch 8: loss = 45851.88671875
Epoch 9: loss = 45851.88671875
Epoch 10: loss = 45851.890625
Epoch 11: loss = 45851.88671875
Epoch 12: loss = 45851.88671875
Epoch 13: loss = 45851.88671875
Epoch 14: loss = 45851.88671875
Epoch 0: loss = 0.02122720330953598
Epoch 1: loss = 0.021225832402706146
Epoch 2: loss = 0.021224461495876312
Epoch 3: loss = 0.021223094314336777
Epoch 4: loss = 0.02122172899544239
Epoch 5: loss = 0.021220365539193153
Epoch 6: loss = 0.021219003945589066
Epoch 7: loss = 0.02121764048933983
Epoch 8: loss = 0.02121628448367119
Epoch 9: loss = 0.02121492475271225
Epoch 10: loss = 0.021213572472333908
Early stopping at epoch 10 with loss 0.02122720330953598
Reconstruction for fluence = 2.976351441631318 photons/pixel
Epoch 0: loss = 257879.28125
Epoch 1: loss = 106594.59375
Epoch 2: loss = 103767.2421875
Epoch 3: loss = 103720.1015625
Epoch 4: loss = 103719.328125
Epoch 5: loss = 103719.3125
Epoch 6: loss = 103719.3125
Epoch 7: loss = 103719.3125
Epoch 8: loss = 103719.3125
Epoch 9: loss = 103719.3125
Epoch 10: loss = 103719.3125
Epoch 11: loss = 103719.3125
Epoch 12: loss = 103719.3046875
Epoch 13: loss = 103719.3046875
Epoch 14: loss = 103719.3046875
Epoch 0: loss = 0.03900042921304703
Epoch 1: loss = 0.038996998220682144
Epoch 2: loss = 0.03899357467889786
Epoch 3: loss = 0.03899016231298447
Epoch 4: loss = 0.03898676857352257
Epoch 5: loss = 0.03898338973522186
Epoch 6: loss = 0.038980018347501755
Epoch 7: loss = 0.038976654410362244
Epoch 8: loss = 0.038973309099674225
Epoch 9: loss = 0.0389699749648571
Epoch 10: loss = 0.03896665200591087
Early stopping at epoch 10 with loss 0.03900042921304703
Reconstruction for fluence = 6.9519279617756045 photons/pixel
Epoch 0: loss = 519314.71875
Epoch 1: loss = 229627.375
Epoch 2: loss = 224110.40625
Epoch 3: loss = 224016.34375
Epoch 4: loss = 224014.828125
Epoch 5: loss = 224014.796875
Epoch 6: loss = 224014.796875
Epoch 7: loss = 224014.78125
Epoch 8: loss = 224014.78125
Epoch 9: loss = 224014.78125
Epoch 10: loss = 224014.78125
Epoch 11: loss = 224014.78125
Epoch 12: loss = 224014.765625
Epoch 13: loss = 224014.765625
Epoch 14: loss = 224014.765625
Epoch 0: loss = 0.0669606626033783
Epoch 1: loss = 0.04924196004867554
Epoch 2: loss = 0.04805874451994896
Epoch 3: loss = 0.047913361340761185
Epoch 4: loss = 0.04789184033870697
Epoch 5: loss = 0.04788908362388611
Epoch 6: loss = 0.04788908362388611
Epoch 7: loss = 0.04788908362388611
Epoch 8: loss = 0.04788908362388611
Epoch 9: loss = 0.04788908362388611
Epoch 10: loss = 0.04788908362388611
Epoch 11: loss = 0.04788908362388611
Epoch 12: loss = 0.04788908362388611
Epoch 13: loss = 0.04788908362388611
Early stopping at epoch 13 with loss 0.047913361340761185
Reconstruction for fluence = 16.23776739188721 photons/pixel
Epoch 0: loss = 952270.875
Epoch 1: loss = 452708.875
Epoch 2: loss = 442920.75
Epoch 3: loss = 442751.15625
Epoch 4: loss = 442748.4375
Epoch 5: loss = 442748.375
Epoch 6: loss = 442748.375
Epoch 7: loss = 442748.375
Epoch 8: loss = 442748.375
Epoch 9: loss = 442748.375
Epoch 10: loss = 442748.375
Epoch 11: loss = 442748.375
Epoch 12: loss = 442748.375
Epoch 13: loss = 442748.34375
Epoch 14: loss = 442748.34375
Epoch 0: loss = 0.10521049797534943
Epoch 1: loss = 0.08318399637937546
