Running simulation for n_fluences=12
Tensors initialization on device cuda
Multiprobe = None

('MSE', None) RECONSTRUCTIONS

Reconstruction for fluence = 100.0 photons/pixel
Epoch 101: loss = 973098.1875 | lr = 1.0000000000000005e-07
Epoch 102: loss = 973098.25 | lr = 1.0000000000000005e-07
Epoch 103: loss = 973098.25 | lr = 1.0000000000000005e-07
Epoch 104: loss = 973098.25 | lr = 1.0000000000000005e-07
Epoch 105: loss = 973098.25 | lr = 1.0000000000000005e-07
Epoch 106: loss = 973098.25 | lr = 1.0000000000000005e-07
Epoch 107: loss = 973098.1875 | lr = 1.0000000000000005e-07
Epoch 108: loss = 973098.25 | lr = 1.0000000000000005e-08
Epoch 109: loss = 973098.1875 | lr = 1.0000000000000005e-08
Epoch 110: loss = 973098.1875 | lr = 1.0000000000000005e-08
Epoch 111: loss = 973098.1875 | lr = 1.0000000000000005e-08
Epoch 112: loss = 973098.1875 | lr = 1.0000000000000005e-08
Epoch 113: loss = 973098.25 | lr = 1.0000000000000005e-08
Epoch 114: loss = 973098.25 | lr = 1.0000000000000005e-08
Epoch 115: loss = 973098.1875 | lr = 1.0000000000000005e-08
Epoch 116: loss = 973098.25 | lr = 1.0000000000000005e-08
Epoch 117: loss = 973098.1875 | lr = 1.0000000000000005e-09
Epoch 118: loss = 973098.25 | lr = 1.0000000000000005e-09
Epoch 119: loss = 973098.25 | lr = 1.0000000000000005e-09
Epoch 120: loss = 973098.25 | lr = 1.0000000000000005e-09
Epoch 121: loss = 973098.1875 | lr = 1.0000000000000005e-09
Epoch 122: loss = 973098.1875 | lr = 1.0000000000000005e-09
Epoch 123: loss = 973098.1875 | lr = 1.0000000000000005e-09
Epoch 124: loss = 973098.1875 | lr = 1.0000000000000005e-09
Epoch 125: loss = 973098.1875 | lr = 1.0000000000000005e-09
Stopping early due to low learning rate
Reconstruction for fluence = 231.01297000831605 photons/pixel
Epoch 0: loss = 1144588.5634765625 | lr = 0.1
Epoch 1: loss = 1014770.390625 | lr = 0.1
Epoch 2: loss = 1017970.333984375 | lr = 0.1
Epoch 3: loss = 1019379.1064453125 | lr = 0.1
Epoch 4: loss = 1020631.373046875 | lr = 0.1
Epoch 5: loss = 1020818.3916015625 | lr = 0.1
Epoch 6: loss = 1022956.7421875 | lr = 0.1
Epoch 7: loss = 1021753.435546875 | lr = 0.1
Epoch 8: loss = 1022377.88671875 | lr = 0.1
Epoch 9: loss = 1022080.2998046875 | lr = 0.1
Epoch 10: loss = 1022516.3486328125 | lr = 0.010000000000000002
Epoch 11: loss = 1037196.5 | lr = 0.010000000000000002
Epoch 12: loss = 1013010.5625 | lr = 0.010000000000000002
Epoch 13: loss = 1005112.0 | lr = 0.010000000000000002
Epoch 14: loss = 1008770.0 | lr = 0.010000000000000002
Epoch 15: loss = 1012371.375 | lr = 0.010000000000000002
Epoch 16: loss = 1012419.625 | lr = 0.010000000000000002
Epoch 17: loss = 1010078.375 | lr = 0.010000000000000002
Epoch 18: loss = 1007516.875 | lr = 0.010000000000000002
Epoch 19: loss = 1005779.9375 | lr = 0.010000000000000002
Epoch 20: loss = 1004892.375 | lr = 0.010000000000000002
Epoch 21: loss = 1004515.25 | lr = 0.010000000000000002
Epoch 22: loss = 1004277.75 | lr = 0.010000000000000002
Epoch 23: loss = 1003966.3125 | lr = 0.010000000000000002
Epoch 24: loss = 1003534.875 | lr = 0.010000000000000002
Epoch 25: loss = 1003035.875 | lr = 0.010000000000000002
Epoch 26: loss = 1002550.25 | lr = 0.010000000000000002
Epoch 27: loss = 1002131.5 | lr = 0.010000000000000002
Epoch 28: loss = 1001794.75 | lr = 0.010000000000000002
Epoch 29: loss = 1001533.375 | lr = 0.010000000000000002
Epoch 30: loss = 1001320.5 | lr = 0.010000000000000002
Epoch 31: loss = 1001123.875 | lr = 0.010000000000000002
Epoch 32: loss = 1000935.8125 | lr = 0.010000000000000002
Epoch 33: loss = 1000765.25 | lr = 0.010000000000000002
Epoch 34: loss = 1000609.8125 | lr = 0.010000000000000002
Epoch 35: loss = 1000460.4375 | lr = 0.010000000000000002
Epoch 36: loss = 1000315.875 | lr = 0.010000000000000002
Epoch 37: loss = 1000188.375 | lr = 0.010000000000000002
Epoch 38: loss = 1000085.75 | lr = 0.010000000000000002
Epoch 39: loss = 1000005.5 | lr = 0.010000000000000002
Epoch 40: loss = 999934.0625 | lr = 0.010000000000000002
Epoch 41: loss = 999860.0 | lr = 0.010000000000000002
Epoch 42: loss = 999788.1875 | lr = 0.010000000000000002
Epoch 43: loss = 999725.375 | lr = 0.010000000000000002
Epoch 44: loss = 999672.8125 | lr = 0.010000000000000002
Epoch 45: loss = 999625.375 | lr = 0.010000000000000002
Epoch 46: loss = 999579.25 | lr = 0.010000000000000002
Epoch 47: loss = 999536.9375 | lr = 0.010000000000000002
Epoch 48: loss = 999500.375 | lr = 0.010000000000000002
Epoch 49: loss = 999469.5 | lr = 0.010000000000000002
Epoch 50: loss = 999443.0 | lr = 0.010000000000000002
Epoch 51: loss = 999418.6875 | lr = 0.010000000000000002
Epoch 52: loss = 999396.25 | lr = 0.010000000000000002
Epoch 53: loss = 999375.875 | lr = 0.010000000000000002
Epoch 54: loss = 999356.1875 | lr = 0.010000000000000002
Epoch 55: loss = 999336.5 | lr = 0.010000000000000002
Epoch 56: loss = 999319.0 | lr = 0.010000000000000002
Epoch 57: loss = 999305.625 | lr = 0.010000000000000002
Epoch 58: loss = 999295.75 | lr = 0.010000000000000002
Epoch 59: loss = 999287.0 | lr = 0.010000000000000002
Epoch 60: loss = 999277.875 | lr = 0.010000000000000002
Epoch 61: loss = 999268.125 | lr = 0.010000000000000002
Epoch 62: loss = 999258.375 | lr = 0.010000000000000002
Epoch 63: loss = 999249.1875 | lr = 0.010000000000000002
Epoch 64: loss = 999241.5 | lr = 0.010000000000000002
Epoch 65: loss = 999236.0 | lr = 0.010000000000000002
Epoch 66: loss = 999232.375 | lr = 0.0010000000000000002
Epoch 67: loss = 999229.5 | lr = 0.0010000000000000002
Epoch 68: loss = 999228.25 | lr = 0.0010000000000000002
Epoch 69: loss = 999225.375 | lr = 0.0010000000000000002
Epoch 70: loss = 999221.3125 | lr = 0.0010000000000000002
Epoch 71: loss = 999216.75 | lr = 0.0010000000000000002
Epoch 72: loss = 999211.875 | lr = 0.0010000000000000002
Epoch 73: loss = 999207.375 | lr = 0.0010000000000000002
Epoch 74: loss = 999203.375 | lr = 0.0010000000000000002
Epoch 75: loss = 999199.875 | lr = 0.0010000000000000002
Epoch 76: loss = 999196.875 | lr = 0.0010000000000000002
Epoch 77: loss = 999194.5 | lr = 0.0010000000000000002
Epoch 78: loss = 999192.625 | lr = 0.0010000000000000002
Epoch 79: loss = 999191.125 | lr = 0.0010000000000000002
Epoch 80: loss = 999190.0 | lr = 0.0010000000000000002
Epoch 81: loss = 999189.125 | lr = 0.0010000000000000002
Epoch 82: loss = 999188.5625 | lr = 0.0010000000000000002
Epoch 83: loss = 999188.125 | lr = 0.00010000000000000003
Epoch 84: loss = 999187.875 | lr = 0.00010000000000000003
Epoch 85: loss = 999187.8125 | lr = 0.00010000000000000003
Epoch 86: loss = 999187.75 | lr = 0.00010000000000000003
Epoch 87: loss = 999187.75 | lr = 0.00010000000000000003
Epoch 88: loss = 999187.6875 | lr = 0.00010000000000000003
Epoch 89: loss = 999187.625 | lr = 0.00010000000000000003
Epoch 90: loss = 999187.5 | lr = 0.00010000000000000003
Epoch 91: loss = 999187.5 | lr = 0.00010000000000000003
Epoch 92: loss = 999187.375 | lr = 1.0000000000000004e-05
Epoch 93: loss = 999187.25 | lr = 1.0000000000000004e-05
Epoch 94: loss = 999187.25 | lr = 1.0000000000000004e-05
Epoch 95: loss = 999187.25 | lr = 1.0000000000000004e-05
Epoch 96: loss = 999187.25 | lr = 1.0000000000000004e-05
Epoch 97: loss = 999187.1875 | lr = 1.0000000000000004e-05
Epoch 98: loss = 999187.1875 | lr = 1.0000000000000004e-05
Epoch 99: loss = 999187.1875 | lr = 1.0000000000000004e-05
Epoch 100: loss = 999187.1875 | lr = 1.0000000000000004e-05
Epoch 101: loss = 999187.1875 | lr = 1.0000000000000004e-06
Epoch 102: loss = 999187.125 | lr = 1.0000000000000004e-06
Epoch 103: loss = 999187.125 | lr = 1.0000000000000004e-06
Epoch 104: loss = 999187.1875 | lr = 1.0000000000000004e-06
Epoch 105: loss = 999187.125 | lr = 1.0000000000000004e-06
Epoch 106: loss = 999187.125 | lr = 1.0000000000000004e-06
Epoch 107: loss = 999187.1875 | lr = 1.0000000000000004e-06
Epoch 108: loss = 999187.125 | lr = 1.0000000000000004e-06
Epoch 109: loss = 999187.125 | lr = 1.0000000000000004e-06
Epoch 110: loss = 999187.125 | lr = 1.0000000000000005e-07
Epoch 111: loss = 999187.125 | lr = 1.0000000000000005e-07
Epoch 112: loss = 999187.125 | lr = 1.0000000000000005e-07
Epoch 113: loss = 999187.125 | lr = 1.0000000000000005e-07
Epoch 114: loss = 999187.125 | lr = 1.0000000000000005e-07
Epoch 115: loss = 999187.125 | lr = 1.0000000000000005e-07
Epoch 116: loss = 999187.125 | lr = 1.0000000000000005e-07
Epoch 117: loss = 999187.125 | lr = 1.0000000000000005e-07
Epoch 118: loss = 999187.125 | lr = 1.0000000000000005e-07
Epoch 119: loss = 999187.125 | lr = 1.0000000000000005e-08
Epoch 120: loss = 999187.125 | lr = 1.0000000000000005e-08
Epoch 121: loss = 999187.125 | lr = 1.0000000000000005e-08
Epoch 122: loss = 999187.125 | lr = 1.0000000000000005e-08
Epoch 123: loss = 999187.125 | lr = 1.0000000000000005e-08
Epoch 124: loss = 999187.125 | lr = 1.0000000000000005e-08
Epoch 125: loss = 999187.1875 | lr = 1.0000000000000005e-08
Epoch 126: loss = 999187.125 | lr = 1.0000000000000005e-08
Epoch 127: loss = 999187.125 | lr = 1.0000000000000005e-08
Epoch 128: loss = 999187.1875 | lr = 1.0000000000000005e-09
Epoch 129: loss = 999187.125 | lr = 1.0000000000000005e-09
Epoch 130: loss = 999187.125 | lr = 1.0000000000000005e-09
Epoch 131: loss = 999187.125 | lr = 1.0000000000000005e-09
Epoch 132: loss = 999187.125 | lr = 1.0000000000000005e-09
Epoch 133: loss = 999187.125 | lr = 1.0000000000000005e-09
Epoch 134: loss = 999187.125 | lr = 1.0000000000000005e-09
Epoch 135: loss = 999187.1875 | lr = 1.0000000000000005e-09
Epoch 136: loss = 999187.125 | lr = 1.0000000000000005e-09
Stopping early due to low learning rate
Reconstruction for fluence = 533.6699231206312 photons/pixel
Epoch 0: loss = 1449003.8408203125 | lr = 0.1
Epoch 1: loss = 1183494.3056640625 | lr = 0.1
Epoch 2: loss = 1188149.2548828125 | lr = 0.1
Epoch 3: loss = 1192299.75 | lr = 0.1
Epoch 4: loss = 1194248.384765625 | lr = 0.1
Epoch 5: loss = 1195111.224609375 | lr = 0.1
Epoch 6: loss = 1196063.443359375 | lr = 0.1
Epoch 7: loss = 1195438.8486328125 | lr = 0.1
Epoch 8: loss = 1199758.1376953125 | lr = 0.1
Epoch 9: loss = 1199657.689453125 | lr = 0.1
Epoch 10: loss = 1198762.6474609375 | lr = 0.010000000000000002
Epoch 11: loss = 1210356.75 | lr = 0.010000000000000002
Epoch 12: loss = 1172110.75 | lr = 0.010000000000000002
Epoch 13: loss = 1167523.625 | lr = 0.010000000000000002
